idloc,edadloc,correo,paginas,telefono,impresa,servicio,nomina,idmercado,tamamer,promo,ropamujer
134,4,9717,85,40,37367.81,30,11227,8,Pequeño,3,65411.7928009298
875,16,10759,86,31,32548.38,46,10232,5,Median,1,47060.8127470348
1310,4,14525,105,44,35104.58,39,16433,8,Pequeño,3,79677.1968607747
430,1,11910,98,48,23352.36,22,9300,7,Pequeño,3,49676.5229631148
552,23,9496,91,29,22861.66,55,11085,1,Pequeño,2,39592.7954214186
1320,17,12802,89,48,24650.21,62,23151,3,Median,2,70247.5312795396
1605,1,11481,98,41,39588.21,19,31634,6,Grande,1,32865.5228987755
800,22,5705,59,21,28670.91,51,26651,8,Grande,2,35338.9981841874
1253,7,9636,75,30,29081.66,66,47458,1,Grande,2,65068.3896866279
1237,14,12562,101,56,25052.38,52,23268,5,Pequeño,3,68796.1733747659
571,2,9662,73,39,38486.11,15,27511,6,Median,1,41182.0703027913
1301,15,9547,70,36,32026.81,43,26890,4,Median,1,30381.9671598201
588,2,9919,76,40,25992.56,22,55998,9,Grande,1,28962.6710412937
627,6,10500,80,39,23507.81,44,8217,9,Pequeño,3,50502.6998352002
1492,21,12592,100,43,28044.97,65,29043,9,Grande,1,71500.84644331
1876,20,13499,89,57,24626.44,56,35453,5,Grande,1,52000.7110355039
1652,3,9353,109,39,29091.24,29,10261,4,Pequeño,2,25236.417990133
436,19,12450,93,41,25770.53,43,8758,3,Median,2,67455.6271988458
1190,25,10878,86,33,19086.22,52,15763,4,Median,1,51936.6590342297
503,4,10904,113,32,18513.7,33,28576,1,Median,1,35454.910090019
695,14,10955,95,36,31268.23,54,4129,7,Pequeño,2,85675.5493227924
385,16,10296,76,34,19553.84,65,32076,1,Grande,2,60965.5556321082
114,1,11633,67,32,28349.67,58,17257,9,Grande,2,52026.07
291,23,10148,69,29,31441.94,58,64833,9,Grande,2,66678.5509219248
724,2,1619,62,18,24705.45,43,20676,8,Median,3,11751.4588883704
720,1,10008,79,30,24032.36,20,6091,4,Pequeño,2,21840.4161264613
247,1,10254,76,30,25761.67,39,46285,5,Grande,2,47361.6695520997
1285,17,10039,74,39,33076.49,57,95074,2,Grande,1,44155.9785725138
1138,4,9406,68,37,31443.98,30,10282,6,Pequeño,3,23370.3322224331
389,17,11224,93,46,39365.16,63,10501,9,Pequeño,3,90870.2452371016
847,8,11729,91,58,34678.37,52,16579,6,Grande,2,73365.0156140274
1962,10,10704,84,32,29815.91,59,31185,3,Median,3,56240.7880160176
711,8,13638,101,51,38646.16,35,12201,3,Median,2,82023.1865476152
1861,17,10514,85,29,24302.01,65,19346,1,Median,3,98697.8155285891
670,9,14281,92,42,31493.83,39,5594,6,Pequeño,3,73893.4559113243
1090,25,11128,79,30,27131.34,48,17345,8,Median,3,51857.4941556512
94,18,11951,88,47,18061.2,41,17017,9,Grande,2,41038.75
1944,14,14835,114,51,21770.97,45,11485,2,Pequeño,3,65226.3235686264
1186,4,9493,87,40,25871.35,29,24115,2,Grande,1,25944.2092862152
1306,22,11135,77,40,36468.7,55,8281,4,Pequeño,2,45331.2426766843
1477,4,11222,113,53,21478.36,31,24647,1,Median,1,42392.5190238541
928,8,14142,99,48,22981.63,59,56480,5,Grande,2,73557.4692282245
1960,23,12415,113,43,33262.97,68,49180,5,Grande,1,83409.6792345632
1134,5,11806,109,57,28614.82,42,29056,9,Grande,1,65135.7287333525
594,19,12498,111,56,27630.52,61,4214,2,Pequeño,3,67407.9900833335
1616,11,13628,114,48,31284.77,43,4475,3,Pequeño,3,79323.8710668268
1683,4,9600,108,36,18736.02,36,26170,4,Grande,1,19210.9602753972
429,6,10164,76,33,39568.61,38,8126,2,Pequeño,3,64404.70884737
1900,4,9398,84,37,38156.97,38,18481,7,Median,3,25677.9943172397
910,4,10888,87,36,30148.59,37,8834,3,Pequeño,2,38451.1552291808
1383,10,9390,76,38,34009.75,45,13119,3,Grande,1,57001.8546996338
1054,17,10913,87,32,30458.59,67,31647,2,Grande,2,57765.5703377972
1344,15,9658,81,40,36560.49,45,18526,1,Median,3,45449.8585417244
1008,25,13569,102,43,35701.62,53,7732,9,Pequeño,2,85125.0821107392
180,4,12243,106,44,34755.32,39,34369,7,Median,2,64017.5350924566
1803,1,10312,86,39,23139.4,29,23052,9,Median,1,26645.4945469639
600,10,11021,112,34,29096.98,35,4807,1,Median,3,58369.2286080826
1575,4,13990,98,59,24035.89,38,10865,5,Pequeño,2,51401.4227060996
1518,20,4006,70,25,28154.43,61,6913,5,Median,3,51549.6084950516
1831,6,11745,108,58,23291.92,51,71354,5,Grande,1,54315.9215965334
673,10,11052,73,35,29271.07,60,48218,3,Grande,1,65621.0782090374
500,13,4984,66,25,38107.59,52,7258,2,Pequeño,2,43166.818962034
728,2,4173,59,19,25903.11,40,8033,8,Median,1,15676.6182757749
1401,6,10310,55,33,19714.82,31,20443,5,Median,2,33394.1985628084
332,24,10135,111,29,20598.2,47,10120,4,Pequeño,3,45878.9883374355
363,10,9495,73,32,24877.32,40,55700,1,Grande,2,56644.2557965896
40,6,12768,89,39,28435.54,45,19214,3,Median,1,60642.61
1400,6,9414,100,29,38158.29,37,11756,3,Pequeño,2,56198.7607282652
124,2,9554,74,31,29039.73,16,12693,8,Median,2,40462.056729201
383,22,11243,109,46,29448.26,46,42472,7,Grande,1,53414.8184571896
619,2,9894,76,33,22959.72,31,49164,9,Grande,2,24652.9336629234
1359,24,14429,89,47,37361.08,47,7012,4,Pequeño,3,58559.3191894119
1232,4,11043,88,29,35258.39,60,26410,9,Grande,2,59212.4737135107
1628,17,15250,94,45,34552.58,64,15319,1,Median,1,76235.7538002352
1499,18,11568,105,59,38828.47,53,21199,9,Median,2,67424.3616883224
434,16,11087,77,31,31425.76,50,19389,3,Median,2,43711.7344876312
689,1,11132,64,31,27687.25,41,73212,9,Grande,1,29329.8707709296
1120,2,10576,83,40,18993.63,40,13039,3,Median,1,41080.3278874114
348,15,14302,111,58,38072,59,21975,9,Median,3,100146.433260996
1701,2,9246,96,29,39883.45,38,7352,8,Pequeño,2,51444.8549447109
1882,3,9381,75,36,28188.54,38,21447,2,Pequeño,3,32770.8117589793
1719,2,10356,84,34,19915.88,34,18846,7,Grande,1,54775.5558104219
1751,20,11600,94,47,32475.3,43,16997,5,Median,3,57678.9877214903
1491,4,4118,72,27,31091.69,41,11235,1,Pequeño,2,33774.9894537828
1056,20,13172,111,43,26407.29,52,25805,2,Median,3,65768.9294577244
737,7,14829,108,59,26273.85,44,32389,7,Median,1,78987.3165571338
1734,17,12758,105,56,27438.35,61,51185,1,Grande,1,60001.1918817319
1133,3,10096,54,28,19507.8,22,7531,6,Pequeño,2,13252.6362190735
1810,1,11182,87,30,18230.99,40,14252,6,Median,2,25397.39038944
709,24,6586,69,23,28391.92,51,5956,9,Pequeño,2,29030.7761572289
1802,19,10607,72,37,30414.23,46,8044,8,Pequeño,3,55903.7355200878
1126,24,10115,74,29,23663.43,68,22421,6,Median,3,43970.8207313412
1461,10,10875,86,35,25555.26,56,13709,6,Pequeño,3,57285.2299160038
1615,3,12260,112,50,34374.35,28,70082,2,Grande,2,32062.6019735861
755,13,12191,96,50,22763.9,62,13388,5,Median,1,70088.8767390323
217,11,13793,93,52,33617.7,28,30510,7,Median,2,70122.1320963027
246,9,5484,55,22,30862.59,40,13315,6,Pequeño,3,54149.2436135094
1905,23,9769,63,32,22582.18,48,51786,4,Grande,1,36877.2844379368
298,2,10732,86,34,27576.89,39,43802,4,Grande,1,43309.2312436427
1319,2,11064,88,29,27144.36,15,53767,6,Grande,1,37653.3556694992
1756,22,13115,101,41,29395.84,64,30114,2,Median,1,61215.4483795187
786,13,15163,108,42,23073.75,55,50048,5,Grande,1,84561.1983238823
1943,4,11574,107,56,32958.38,35,27965,1,Grande,2,41469.6794332013
805,19,5525,51,20,22088.13,52,6198,5,Pequeño,2,40603.4330404081
914,2,9232,79,40,27617.94,23,2225,4,Pequeño,3,16247.7178243868
474,9,9588,91,28,23578.24,40,6362,1,Pequeño,3,50435.3662679025
1470,9,9195,65,33,38313.3,34,7048,9,Pequeño,3,38353.0371677046
1072,6,9774,66,28,35466.18,40,1261,9,Pequeño,3,54567.5368766476
580,1,1671,56,24,33628.39,29,7011,3,Pequeño,3,24359.7421782401
835,2,10854,79,33,34017.23,30,42609,1,Grande,2,49303.3903444565
1410,20,10387,74,28,31102.99,45,31139,3,Median,2,33411.5442153459
321,4,10271,87,35,36337.31,33,16196,9,Median,3,38143.1773975742
685,3,9722,72,35,22761.27,34,17078,3,Median,3,30664.2631184081
72,13,11398,80,34,26957.77,42,17005,7,Pequeño,2,42483.37
1407,25,9937,102,40,33041.78,46,10173,7,Pequeño,2,44407.6373390264
718,2,12113,107,56,27928.49,16,11607,5,Median,1,43336.5831465873
1464,15,2651,67,27,34738.99,66,8415,7,Pequeño,3,41655.111368526
1111,12,9225,83,39,32774.96,66,33833,4,Grande,2,76683.0300744283
1396,13,10556,88,30,29072.31,65,34083,3,Grande,1,69650.3138645828
1084,7,11553,92,56,29590.84,64,12921,7,Median,2,77525.073458969
495,21,11574,89,44,36409.73,43,4862,4,Pequeño,2,78677.9905554591
1798,8,4596,68,28,24287.65,36,17943,6,Median,2,32345.4858801776
1845,14,14205,100,49,33616.3,46,3156,3,Pequeño,2,64276.9822780616
1299,19,10310,92,30,31951.52,67,9357,2,Pequeño,2,57807.9586659356
199,1,9851,75,32,27734,41,43048,9,Grande,1,43024.8497850525
1260,1,5913,70,17,26477.39,42,14944,9,Median,3,22692.6755973653
1484,23,9911,87,31,22936.61,44,30882,3,Grande,1,41957.8664907447
1514,2,11523,101,53,34993.54,38,34416,7,Median,1,68517.8287409345
1149,11,10883,83,37,24125.45,38,41374,9,Grande,1,39523.8700642397
1569,3,9591,76,31,32856.47,17,5191,8,Pequeño,3,44648.1176365602
1249,22,11104,78,34,33505.66,63,14876,1,Median,2,61267.2135686642
838,25,8493,68,28,28732.16,45,5202,5,Pequeño,2,29582.0147934656
1771,3,10951,74,39,19872.04,28,22922,5,Median,1,11932.6809306551
1070,2,10503,73,33,26146.74,35,9579,7,Pequeño,3,26634.8199308778
1240,18,13554,111,57,31506,47,4475,2,Pequeño,3,69298.011759438
1971,3,10460,83,28,30198.98,18,47214,3,Grande,2,37871.6107590048
139,13,10270,75,36,33060.24,59,32214,5,Median,3,59464.1666639584
399,25,9848,76,30,28186.45,52,25759,3,Median,1,49698.0133766581
723,20,10455,84,35,23249.66,58,10341,7,Pequeño,2,56995.0930666051
1379,1,11041,88,32,20608.06,32,3208,6,Pequeño,2,25206.6762504119
1599,11,10183,78,39,23585.35,45,49537,3,Grande,2,43526.5636033599
697,10,14028,107,44,31229.13,43,18866,3,Median,3,77247.0350350011
845,1,9904,72,38,21625.56,15,63003,7,Grande,1,31744.9215866256
1854,19,10102,74,38,19856.2,46,4357,8,Pequeño,2,41847.1601059618
1452,1,13719,102,43,25614.56,38,18643,9,Median,3,51024.0316685583
9,7,8811,74,30,28589.74,16,27081,1,Grande,1,33890.92
235,20,11068,55,30,38103.61,61,7331,6,Pequeño,2,65504.998826529
1135,24,9689,82,40,32571.49,55,16827,3,Grande,1,43023.3568206906
1606,14,14632,90,54,33915.12,61,67598,4,Grande,1,74835.2570084431
968,13,10730,75,30,38496.06,44,46441,8,Grande,1,53812.6238524613
607,17,9762,53,30,35950.4,59,23860,8,Grande,1,76430.0994202605
1468,5,10516,86,34,39764.52,66,42409,6,Grande,2,66540.040130811
252,12,10152,87,34,30572.7,49,12758,6,Grande,2,52130.3725206866
1398,7,12179,98,46,33531.24,31,23204,5,Grande,1,76131.6233037022
1976,2,15227,89,55,34808.23,29,13310,2,Pequeño,2,84185.1179108462
1263,4,9721,69,28,32493.13,68,27392,1,Grande,2,57274.0830345449
1661,8,10273,108,32,27068.31,34,8266,4,Pequeño,3,46065.2276948706
691,14,13580,90,54,27387.63,57,12193,7,Pequeño,2,83732.6743482433
1364,15,10557,109,38,18903.47,66,45702,5,Grande,1,51754.6780435716
129,4,10580,84,37,31017.23,36,98108,6,Grande,2,54638.6661534223
1342,4,9540,74,38,38352.02,30,48707,2,Grande,1,36854.5810461269
84,3,11483,104,41,29281.37,44,19587,8,Median,3,45873.16
1967,11,10787,55,34,33391.03,33,19879,2,Median,3,31393.2803235928
238,3,11444,102,54,24747.22,43,79541,5,Grande,1,59820.604390823
1417,3,10125,91,40,23347.81,39,11299,1,Pequeño,3,23995.2684627861
1846,2,9286,76,31,26308.01,19,10653,8,Pequeño,3,12103.2093377035
1466,3,13826,90,48,23356.47,43,36339,7,Median,2,38887.474040463
431,3,12523,92,41,19230.93,32,9226,9,Median,1,31122.8626626327
1351,1,12043,93,45,33283.85,41,3796,6,Pequeño,2,38813.2943812622
1080,24,14488,105,58,29965.12,60,10143,5,Median,2,77178.4089998446
1886,3,9976,71,28,29885.82,27,17135,8,Median,1,26715.6392017051
1302,4,10898,79,38,32226.25,15,8160,1,Pequeño,2,27243.769988212
1881,4,10321,88,29,32148.56,40,43145,8,Grande,1,42192.6326577716
368,1,10339,87,40,24862,37,48936,4,Grande,1,45698.72343084
169,24,10123,62,30,33238.25,65,25954,9,Median,1,74708.7184834144
713,22,11806,99,47,32251.08,66,14296,8,Grande,2,66913.0985720358
527,23,13646,105,51,25284.24,63,52370,2,Grande,1,76472.7839926568
222,7,10048,75,30,20631.38,28,10831,1,Pequeño,2,84754.028378353
1000,1,11082,58,40,24987.17,24,41889,8,Grande,1,21643.0760967624
1735,12,9993,71,36,27385.1,52,21272,7,Median,2,65160.0601683816
1444,6,10274,88,30,37546.8,42,6930,7,Pequeño,3,77637.9322564767
379,3,11113,75,36,36155.13,20,4449,6,Pequeño,2,51677.0869294131
666,4,10029,85,29,21898.15,31,10237,8,Median,3,30262.4591764089
381,23,10673,75,29,26019.1,55,35955,7,Median,2,42845.4853202087
53,8,9938,70,30,26488.64,32,23722,5,Grande,1,37414.13
949,5,13653,95,48,34908.24,34,27589,5,Median,1,64279.3108144609
1132,8,4309,71,22,38925.07,32,33885,4,Median,2,23535.3728108643
1951,9,10950,75,29,38282.34,40,6417,2,Pequeño,2,48470.6962484382
1752,18,9948,88,33,33481.66,53,13616,2,Pequeño,3,72043.1511154386
1777,19,9843,78,32,23383.63,52,13162,8,Pequeño,3,34241.4073223963
864,7,13223,100,46,32394.76,31,9617,2,Pequeño,3,58382.0541778884
2,1,8029,65,24,27978.66,26,24789,1,Grande,2,43393.55
960,4,11694,92,59,31762.69,35,13386,9,Pequeño,2,57927.5961997446
1486,23,10553,84,30,35294.8,55,6578,8,Pequeño,3,58215.4572486436
1916,4,12335,99,53,23572.92,38,8017,3,Pequeño,3,29589.0095378465
573,18,9601,75,30,22648.8,45,31161,3,Grande,2,35326.7733400035
160,6,11449,112,55,28571.03,41,3586,5,Pequeño,3,72370.8588705665
1004,2,10789,90,40,25813.49,32,75539,9,Grande,1,37763.1342814544
1546,3,14689,111,46,19501.12,15,80670,3,Grande,1,41738.4650636615
1270,3,8212,58,22,26131.81,30,3156,5,Pequeño,3,35751.9461693678
102,16,9286,68,27,26337.39,38,20014,3,Median,1,39528.52
135,24,9815,114,40,24752.2,52,37923,9,Median,2,54554.7160888507
1772,11,6343,56,22,18559.17,63,10186,5,Pequeño,3,52480.9722830547
699,4,13439,100,56,32451.76,26,9577,9,Pequeño,3,60997.8670430228
1600,21,1918,68,18,19303.48,57,20167,5,Median,3,29351.2791287115
1487,3,10594,78,35,23750.47,35,7515,5,Median,3,23243.6207345675
649,21,13456,103,41,32353.89,61,7893,3,Pequeño,3,75824.7155478702
1385,22,10467,101,39,28511.34,57,4516,3,Pequeño,3,53707.4806014623
1987,16,10344,77,34,24558.26,59,6895,1,Median,2,40459.6806805939
447,13,9922,71,35,21581.92,57,4032,2,Pequeño,3,57872.1135716985
1729,2,12081,100,58,28847.53,32,11188,9,Median,3,36043.6873114976
1504,10,10612,79,36,23782.41,37,36288,4,Grande,2,44412.9379113893
1677,13,8689,55,20,35831.33,50,4576,2,Pequeño,3,56269.1766389351
1280,7,10639,79,37,36983.41,65,5543,9,Pequeño,2,74506.1816769051
556,5,13147,104,49,32232,36,24500,5,Median,1,51169.4979415922
1274,11,9389,76,37,34169.62,52,11345,1,Pequeño,2,78720.8390689554
774,13,11014,87,31,35989.58,56,52414,2,Grande,2,80201.6066294501
437,13,12197,89,56,33917.34,63,7065,4,Pequeño,2,78125.5076002993
320,1,12389,92,51,23965.4,42,11529,3,Pequeño,2,34094.1240983067
1939,21,11098,71,30,32535.12,63,32011,6,Median,3,50890.6172449369
1850,2,9132,83,40,27621.18,41,31778,2,Median,2,40074.2617265255
470,21,4704,54,24,37557.81,49,34219,5,Median,2,59893.2328586584
1865,4,9954,85,38,37606.08,35,68361,3,Grande,2,45404.8340614051
851,22,4157,68,21,29144.21,67,8881,4,Pequeño,3,51025.0456114242
445,14,11746,109,47,19088.23,51,10184,3,Pequeño,3,54987.924561577
1570,14,10782,105,38,26860.47,60,20455,4,Median,2,64087.2868402685
1020,8,9561,83,39,20117.44,62,39016,2,Grande,2,63167.5342331361
1740,4,3204,54,17,27145.71,39,6035,4,Pequeño,2,8001.90491385025
1481,24,14206,91,41,30899.95,68,26033,5,Grande,1,71701.1553213973
1942,4,9910,80,39,20881.35,31,44534,3,Grande,1,12889.781821171
1032,2,14140,112,42,36712.49,41,18271,9,Median,2,53420.8558222625
1667,10,9737,98,34,30434.86,52,34740,1,Median,2,46090.8008969173
1562,9,14247,114,43,19597.99,37,21488,1,Grande,1,50243.4851377482
1493,21,14087,92,44,31023.32,43,8601,4,Median,2,52779.5582672941
1564,8,10428,94,32,21142.19,50,17916,8,Median,3,37070.6616283829
511,10,9859,112,32,21255.19,29,12973,6,Median,3,56073.9261219399
1403,1,13441,93,41,24145.46,40,40364,5,Median,2,42842.6955820981
1949,25,9926,69,40,20310.77,68,24897,6,Median,1,54288.0557068787
1363,4,11171,100,38,31324.15,31,13321,1,Median,2,29485.5964301158
675,25,10454,86,32,33972.91,65,8530,3,Pequeño,3,79651.3014402833
489,3,10914,92,28,37937.31,28,31248,4,Median,1,41192.6874862848
1199,2,10348,112,28,38459.53,38,40969,9,Grande,1,39776.4579048495
1526,6,10539,79,34,32142.67,48,16463,7,Median,1,63355.9968071388
1089,13,10387,58,39,25114.69,52,38473,5,Grande,2,42491.187204083
1247,4,10723,76,37,30489.18,17,20889,9,Median,3,39057.2127023768
65,1,10259,82,31,29251.61,56,26977,5,Grande,1,50111.22
1965,23,9645,88,38,38461.37,46,17038,7,Pequeño,2,47353.3657376871
66,15,10537,77,31,28675.14,49,23582,5,Grande,3,23246.3
103,12,9281,80,36,27079.19,35,17755,3,Median,3,23663.65
634,7,8305,63,20,33107.12,34,4183,4,Pequeño,2,52599.7782427154
1534,7,13391,95,44,34491.74,30,37207,3,Grande,2,58991.9409029909
1553,12,10068,85,40,27266.14,65,35663,9,Grande,2,57623.7274460195
1328,22,10083,88,34,31221.82,58,38000,4,Grande,1,68728.7942684202
122,7,11763,102,47,27094.23,62,12497,4,Pequeño,3,74357.8634621641
85,10,11643,71,43,25594.92,49,21763,8,Median,1,45480.15
104,11,9589,78,24,27145.35,28,21256,2,Grande,3,47208.79
13,16,8586,60,25,29917.5,28,24704,1,Grande,2,34503.12
1966,19,9753,78,34,27080.3,54,15142,3,Pequeño,2,57232.2998794457
1050,1,7066,62,26,19617.11,28,15941,6,Median,1,4727.41538962979
802,15,10649,86,39,30142.78,46,5110,3,Pequeño,2,44753.0113732763
1092,14,9800,86,36,19593.79,49,70708,4,Grande,1,45371.0683695566
216,4,13790,108,55,39225.91,34,24128,4,Median,3,62785.3860155481
1381,22,11059,55,37,18289.27,56,12027,8,Pequeño,2,44069.4167902142
1968,21,10703,107,37,37366.56,52,21375,5,Median,2,73047.9900798625
564,6,12311,111,58,33134.36,28,5417,2,Pequeño,2,64251.9860627393
959,9,5467,53,28,33416.5,37,33641,2,Grande,1,27760.7443266606
764,6,11044,96,33,26959.77,43,35234,7,Median,3,51682.5434172854
1543,1,9654,77,28,20018.92,31,11417,5,Pequeño,2,25779.1081954096
423,16,9893,109,30,24362.74,62,75458,5,Grande,1,65703.0643807999
229,7,2647,63,28,19409.11,28,4604,9,Pequeño,3,23819.3301157463
743,15,6172,55,23,32096.65,57,35744,1,Grande,1,63835.2287150299
394,17,10648,67,34,35073.6,60,4310,4,Pequeño,2,51441.6751396118
107,20,10047,86,35,26973.08,35,18687,3,Median,3,38713.5
1224,11,9173,75,37,36616.39,35,35768,6,Median,3,48194.9410475248
656,25,13718,93,52,31352.37,60,11716,9,Pequeño,3,61643.8685745949
1194,19,9429,83,37,21494.02,56,6182,2,Pequeño,2,44733.4512150556
287,2,10813,80,37,19041.24,32,12862,8,Median,2,28039.5015241354
694,18,10486,51,31,35732.16,63,51563,8,Grande,1,67853.0997267613
1813,2,9623,75,38,20857.91,29,45824,9,Grande,2,22167.168959834
1204,4,12513,113,49,24049.94,33,87628,6,Grande,1,42780.1359856497
1918,2,14824,96,59,27655.27,41,47669,9,Grande,1,61318.7235017725
1791,7,4051,51,28,27956.76,37,9992,8,Median,1,56591.7027011031
1620,5,10698,86,28,21509.98,32,18807,3,Median,1,35883.9692324332
174,24,9683,88,35,26194.91,67,8358,8,Pequeño,3,68034.5309497376
341,22,1273,51,24,29920.41,46,62605,9,Grande,1,38382.2693611241
1815,7,11157,82,28,34112.54,43,9050,7,Pequeño,2,71141.6838781128
218,7,14561,97,56,23100.97,53,8984,6,Pequeño,3,71849.0488820594
1248,20,9656,89,39,30965.12,46,18989,8,Median,3,56329.6055173952
659,3,9929,73,40,23656.9,38,15776,3,Pequeño,2,43634.4540291158
1789,11,9940,79,40,25388.94,33,36519,2,Grande,2,53942.830032552
116,15,11288,64,37,28652.3,32,21220,8,Median,1,40030.11
1927,8,10597,77,39,22304.97,32,5313,5,Pequeño,2,37942.5543997599
323,10,12555,95,53,29191.69,60,9767,3,Median,2,85557.2631734995
1459,12,9302,84,28,29748.67,52,3894,4,Pequeño,3,45462.0328921886
1112,20,12333,109,46,33803.81,65,17661,2,Grande,1,82399.4919548428
1516,2,12766,89,46,19951.97,40,13738,9,Pequeño,2,33407.043198976
1227,24,14318,92,57,21992.21,44,11766,2,Pequeño,3,40920.4611945089
870,14,10791,82,30,36593.52,57,10555,5,Median,2,74557.1771103499
510,9,12015,112,44,19837.51,38,29271,6,Grande,1,49944.351641081
1819,25,9983,102,36,36376.07,50,28398,4,Grande,1,57932.3900288812
1827,24,11180,101,31,19924.78,45,22026,8,Median,1,46533.6759856266
501,15,10877,74,29,23693.24,55,48331,1,Grande,1,59769.006004766
1009,10,9834,103,33,26418.88,29,7173,3,Pequeño,2,88407.0523603173
1657,3,9608,67,28,36594.67,23,35597,8,Grande,1,25323.5546171562
340,13,12038,90,41,36062.91,43,61059,9,Grande,1,61038.5722427617
151,1,14375,112,42,36002.99,29,23565,3,Median,3,73902.2645853071
1129,6,9295,63,30,30531.38,63,43441,8,Grande,1,59006.1385351976
771,21,13629,104,47,22295.66,46,14397,3,Median,1,64901.8892316486
1437,1,9784,80,33,20017.99,41,71933,2,Grande,2,25063.5702441603
1761,8,6507,61,21,22701.41,44,58268,9,Grande,1,25679.0798576323
532,25,1603,51,22,36221.01,65,26806,9,Grande,2,34452.7051566446
586,17,10590,103,38,22232.9,43,24425,1,Median,1,58845.9091489623
198,11,14051,110,57,39930.62,36,20498,8,Median,2,86165.9450371882
347,9,9215,83,36,24613.67,63,42459,4,Grande,2,72888.2813242394
1366,20,14544,108,49,19689.78,59,6116,2,Median,1,63126.2521441151
1298,25,14391,111,45,35577.59,45,8118,2,Median,3,59960.6563177802
15,18,8589,91,28,26902.89,24,28016,1,Grande,3,31790.15
1890,16,12755,113,48,31801.64,55,44956,8,Grande,1,67579.2769682857
1046,5,11056,85,40,24912.24,34,32077,1,Grande,1,52635.284912927
1173,3,10470,102,35,26582.95,34,10802,8,Median,1,41203.3836495684
521,19,11869,96,51,35129.05,51,24401,6,Median,1,76402.4805741303
958,11,10430,72,40,36004.73,38,10216,6,Pequeño,3,51693.4445966166
664,12,9851,72,39,19496.57,55,58969,1,Grande,2,58474.1526633671
978,7,10562,86,34,32837.2,48,48211,1,Grande,1,78750.1919207563
200,24,10286,74,35,18707.79,45,12608,3,Median,2,42901.7783297133
836,7,10061,79,37,19279.62,30,58729,9,Grande,2,47123.6308675053
264,11,13718,113,43,37725.66,31,7797,7,Median,3,62286.6905120788
1795,5,10649,72,28,26348.62,30,26410,6,Grande,1,43719.1917940807
1724,12,12698,101,58,39534.19,44,41993,5,Grande,2,54342.3109882333
525,3,13597,104,48,20547.58,22,40650,9,Grande,2,38859.379588856
1573,3,9324,85,30,30989.61,32,29652,5,Median,2,21030.6118185605
481,3,9527,73,29,24124.26,39,12579,2,Median,3,41893.9355354562
810,4,10623,87,33,30546.71,43,43620,5,Grande,2,40714.094965891
1634,9,9313,89,33,34195.37,45,36126,7,Grande,1,69029.1490621699
209,8,9631,79,33,22793.29,51,18700,7,Median,1,59706.9266004067
280,12,12651,101,56,25865.69,68,16112,4,Grande,1,90641.4678441118
1904,1,9226,75,29,20064.34,16,85488,2,Grande,1,22531.3845468413
599,4,9747,65,39,27632.55,43,31210,8,Grande,2,41685.1483547446
1429,13,10079,76,31,18824.54,44,26804,7,Median,1,47516.6512894095
1786,15,10108,74,38,18121.35,50,52948,9,Grande,2,28592.5150425729
1123,15,10226,85,28,21502.25,48,18223,7,Median,1,33503.838586171
736,22,10387,65,32,24985.79,47,12115,8,Grande,2,48550.2028045763
406,23,11077,83,40,18890.13,61,44221,8,Grande,1,47974.9823495757
698,25,13583,95,47,18661.68,43,10198,1,Median,2,40927.4405312188
983,17,10168,107,39,26876.54,55,17835,9,Pequeño,3,52185.2412406663
1155,11,12607,103,43,23158.45,41,35664,7,Grande,2,49880.4698500781
1456,11,11136,76,32,18235.82,61,9795,3,Pequeño,3,53624.7390889378
1877,10,10030,102,33,31306.73,35,51265,1,Grande,1,63314.399993101
567,5,12150,109,55,25288.42,32,15627,9,Median,2,45255.1361911928
362,3,9163,64,37,36200.56,35,47730,9,Grande,2,28314.5721170975
1350,7,10663,76,31,25786.43,57,5197,3,Pequeño,3,63284.6755102485
809,4,12165,102,47,35641.06,22,17604,6,Median,3,36381.4951173718
781,24,9617,95,39,39831.16,56,9932,2,Pequeño,3,55836.2438563686
234,22,10194,54,28,22767.21,47,43622,2,Grande,2,38856.8319392292
359,1,10330,77,35,30784.99,40,30830,2,Median,1,27933.9871910071
1051,9,5041,56,28,38525.07,48,55072,3,Grande,2,48652.2520956793
258,13,10023,83,29,23134.17,55,16806,2,Pequeño,3,54135.6026801882
1988,8,10521,80,37,39735.3,66,16390,1,Median,2,67676.0354249448
971,19,14649,89,58,24264.27,67,43715,3,Grande,1,66544.2520141766
376,4,9764,86,35,19370.45,56,7026,1,Pequeño,3,44941.3689794191
1759,3,9718,84,28,27066.38,31,28767,6,Median,2,24785.8262978439
1139,4,9757,103,33,23799.41,27,8361,3,Pequeño,2,27351.8734938334
1312,13,9424,86,35,29634.01,53,64700,4,Grande,1,48592.5016785189
1531,3,14718,110,53,28737.42,36,79532,9,Grande,2,45905.1630135494
753,23,10050,79,34,28692.7,57,6202,7,Pequeño,3,67783.6270042737
1030,5,10839,74,30,33610.02,58,28970,5,Median,2,60364.6140191466
420,12,9399,81,33,20069.92,51,15499,6,Median,1,56522.7052999174
1542,1,9246,92,37,18161.26,40,29548,9,Median,2,24095.5227773028
113,1,9862,80,47,30981.43,42,19453,6,Pequeño,2,28182.68
952,17,11159,114,28,31342.23,43,10860,7,Pequeño,3,44007.1385211227
1034,4,9255,82,38,26787.33,30,9404,5,Pequeño,2,30609.4774825628
