,carat,cut,color,clarity,depth,table,price,x,y,z,CutBin
11693,1.01,Very Good,J,VVS2,63.7,57,5067,6.31,6.35,4.03,B
11694,1.01,Very Good,I,VS2,62.9,56,5067,6.38,6.43,4.03,B
11695,1.01,Very Good,I,VS2,60.9,59,5067,6.42,6.45,3.92,B
11696,1.01,Very Good,F,SI2,61,60,5067,6.42,6.46,3.93,B
11697,1.25,Ideal,J,VS2,62.6,54,5067,6.94,6.9,4.33,A
11698,1.04,Ideal,E,SI2,61.1,56,5067,6.55,6.51,3.99,A
11699,0.9,Good,E,VS1,62.2,60,5068,6.12,6.16,3.82,A
11700,1.29,Very Good,J,VS2,61.3,60,5068,6.96,6.98,4.27,B
11701,0.34,Premium,E,SI1,60.7,60,596,4.48,4.51,2.73,B
11702,0.34,Premium,G,VS2,61.3,58,596,4.51,4.53,2.77,B
11703,0.34,Premium,G,VS2,61.1,60,596,4.51,4.53,2.76,B
11704,0.34,Premium,H,VS1,61.6,59,596,4.49,4.54,2.78,B
11705,0.34,Ideal,G,VS2,61.3,55,596,4.49,4.51,2.76,A
11706,0.34,Premium,E,SI1,59.3,58,596,4.55,4.59,2.71,B
11707,0.34,Premium,G,VS2,61,58,596,4.46,4.49,2.73,B
11708,0.34,Ideal,G,VS2,61.5,57,596,4.47,4.51,2.76,A
11709,0.34,Premium,G,VS2,61.2,58,596,4.46,4.5,2.74,B
11710,0.34,Premium,G,VS2,62,59,596,4.43,4.47,2.76,B
11711,0.4,Very Good,J,VS2,62.5,60,596,4.67,4.71,2.93,B
11712,0.4,Very Good,J,VS2,60.9,62,596,4.73,4.76,2.89,B
11713,0.34,Ideal,E,SI1,61.4,55,596,4.48,4.54,2.77,A
11714,0.34,Ideal,G,VS2,61.8,56,596,4.48,4.52,2.78,A
11715,0.34,Ideal,G,VS2,62,55,596,4.46,4.48,2.77,A
11716,0.34,Premium,G,VS2,62.4,59,596,4.41,4.47,2.77,B
11717,0.34,Ideal,G,VS2,62,56,596,4.47,4.5,2.78,A
11718,0.4,Good,I,SI1,63.2,55,596,4.68,4.72,2.97,A
11719,0.34,Premium,E,SI1,61.9,59,596,4.44,4.48,2.76,B
11720,0.34,Ideal,E,SI1,61.4,54,596,4.5,4.53,2.77,A
11721,0.34,Ideal,G,VS2,62.2,57,596,4.44,4.47,2.77,A
11722,0.34,Ideal,E,SI1,61.8,56,596,4.45,4.48,2.76,A
11723,0.34,Very Good,H,VS1,61.3,56,596,4.48,4.53,2.76,B
11724,0.34,Ideal,G,VS2,61.1,55,596,4.52,4.55,2.77,A
11725,0.34,Good,H,VS1,63.1,57,596,4.4,4.44,2.79,A
11726,0.34,Good,G,VS2,63.1,57,596,4.43,4.47,2.81,A
11727,0.34,Ideal,G,VS2,61.4,57,596,4.48,4.51,2.76,A
11728,0.34,Ideal,G,VS2,61.7,56,596,4.48,4.53,2.78,A
11729,0.34,Ideal,G,VS2,61.9,55,596,4.49,4.53,2.79,A
11730,0.34,Premium,H,VS1,60.8,59,596,4.48,4.53,2.74,B
11731,1.44,Very Good,E,I1,61.1,62,5068,7.15,7.23,4.39,B
11732,1,Good,G,VS2,62.7,58,5068,6.24,6.33,3.94,A
11733,1.01,Ideal,E,SI1,62.2,56,5068,6.43,6.4,3.99,A
11734,1,Premium,H,VS2,59.6,59,5069,6.54,6.47,3.88,B
11735,1.04,Very Good,G,SI1,61.8,59,5070,6.49,6.55,4.03,B
11736,1.2,Ideal,J,SI1,61.9,57,5071,6.8,6.87,4.23,A
11737,1.54,Premium,H,I1,62,60,5071,7.4,7.32,4.56,B
11738,1.09,Very Good,I,VS2,62.6,57,5072,6.55,6.62,4.12,B
11739,1.16,Premium,F,SI2,62.1,59,5072,6.71,6.76,4.18,B
11740,1.22,Very Good,I,SI2,62.9,56,5072,6.79,6.84,4.29,B
11741,1.05,Very Good,H,SI1,63.2,59,5072,6.39,6.46,4.06,B
11742,1.25,Premium,J,SI1,62,58,5073,6.88,6.9,4.27,B
11743,1.1,Very Good,E,SI2,63,56,5073,6.59,6.55,4.14,B
11744,1.11,Ideal,I,VS2,62.2,56,5073,6.69,6.62,4.14,A
11745,1.51,Fair,I,I1,65.7,61,5074,7.08,7.02,4.63,A
11746,1.14,Ideal,I,VS2,62.9,56,5075,6.71,6.67,4.21,A
11747,1.06,Premium,H,SI1,61,58,5075,6.61,6.57,4.02,B
11748,1.03,Premium,D,SI2,60.6,60,5076,6.52,6.46,3.93,B
11749,1.02,Very Good,F,SI1,60.2,60,5077,6.55,6.61,3.96,B
11750,1.07,Ideal,F,SI2,62,56,5077,6.51,6.55,4.09,A
11751,1.01,Very Good,E,SI1,63.3,58,5077,6.39,6.37,4.04,B
11752,1.01,Premium,E,SI1,63,61,5077,6.42,6.37,4.03,B
11753,1.16,Ideal,G,SI2,61.6,55,5078,6.78,6.8,4.18,A
11754,1.08,Premium,H,SI1,62.6,58,5078,6.53,6.56,4.1,B
11755,1.01,Very Good,F,SI1,62.4,60,5078,6.35,6.4,3.98,B
11756,1.01,Very Good,F,SI1,62.7,56,5078,6.39,6.36,4,B
11757,1.03,Premium,H,VS2,62.4,58,5078,6.47,6.39,4.01,B
11758,0.93,Fair,D,VS2,56.3,67,5078,6.52,6.45,3.65,A
11759,1.02,Ideal,H,SI1,59.9,56,5079,6.54,6.51,3.91,A
11760,1.26,Premium,I,SI2,60.1,59,5080,7.03,6.99,4.21,B
11761,1.26,Premium,J,SI1,61.8,58,5080,6.91,6.88,4.26,B
11762,1.2,Premium,I,SI2,60,58,5080,6.93,6.91,4.15,B
11763,1.08,Ideal,E,SI2,61.7,57,5080,6.6,6.55,4.06,A
11764,0.9,Ideal,G,VS1,62.5,57,5080,6.18,6.13,3.84,A
11765,0.9,Ideal,D,SI1,61.6,55,5081,6.23,6.27,3.85,A
11766,1.1,Ideal,E,SI2,61.6,56,5082,6.61,6.64,4.08,A
11767,1.1,Very Good,I,VS1,60.2,59,5082,6.67,6.71,4.03,B
11768,1.2,Good,H,SI2,62.2,62,5082,6.69,6.75,4.18,A
11769,1,Very Good,E,SI1,61.1,60,5082,6.42,6.47,3.94,B
11770,1,Very Good,E,SI1,60.9,59,5082,6.38,6.43,3.9,B
11771,1,Good,E,SI1,63.7,60,5082,6.24,6.29,3.99,A
11772,1.2,Very Good,J,SI1,62.5,58,5082,6.74,6.79,4.23,B
11773,1.21,Premium,H,SI2,58.2,59,5082,7.05,7.03,4.1,B
11774,1.21,Premium,H,SI2,61.1,60,5082,6.91,6.86,4.21,B
11775,1.21,Premium,H,SI2,62.1,56,5082,6.8,6.76,4.21,B
11776,1.02,Ideal,G,SI1,62.2,56,5082,6.44,6.46,4.01,A
11777,1.21,Premium,H,SI2,60,61,5082,6.88,6.79,4.1,B
11778,1.2,Very Good,J,SI1,61.8,57.7,5083,6.78,6.91,4.23,B
11779,1.83,Fair,J,I1,70,58,5083,7.34,7.28,5.12,A
11780,1.23,Ideal,J,SI2,63.2,58,5083,6.82,6.74,4.29,A
11781,1.02,Premium,H,SI1,61.1,58,5084,6.51,6.46,3.96,B
11782,1.01,Very Good,E,SI1,63.1,57,5085,6.33,6.44,4.03,B
11783,1.2,Good,H,SI2,59.7,63,5085,6.84,6.87,4.09,A
11784,1.09,Fair,H,SI1,64.4,60,5085,6.49,6.42,4.16,A
11785,1.13,Very Good,E,SI1,60.8,58,5086,6.71,6.77,4.1,B
11786,0.92,Very Good,D,SI1,62,58,5086,6.18,6.21,3.84,B
11787,0.72,Ideal,F,VVS1,61.8,57,5086,5.73,5.76,3.55,A
11788,1.04,Premium,G,SI1,61.4,57,5086,6.56,6.5,4.01,B
11789,1.03,Premium,F,SI1,61.5,59,5087,6.49,6.42,3.97,B
11790,1.03,Premium,F,SI1,58.6,62,5087,6.65,6.6,3.88,B
11791,1.03,Premium,F,SI1,61.5,57,5087,6.53,6.44,3.99,B
11792,1.03,Premium,F,SI1,60.9,61,5087,6.54,6.5,3.97,B
11793,0.9,Premium,F,VS1,62.7,58,5088,6.14,6.17,3.86,B
11794,1.12,Very Good,G,SI1,62.5,58,5088,6.6,6.64,4.14,B
11795,1.12,Very Good,G,SI1,59.5,62,5088,6.76,6.81,4.04,B
11796,1.18,Very Good,E,SI2,62.5,60,5088,6.7,6.74,4.2,B
11797,1.03,Good,D,SI1,60.1,62,5088,6.55,6.53,3.93,A
11798,1.1,Premium,G,SI1,62.3,58,5088,6.61,6.55,4.1,B
11799,1,Premium,G,SI1,59.6,60,5088,6.49,6.43,3.85,B
11800,1.18,Ideal,I,SI1,62.2,56,5088,6.85,6.75,4.23,A
11801,1.18,Premium,I,SI1,62.8,56,5088,6.74,6.71,4.22,B
11802,1.1,Premium,D,SI2,61.5,60,5088,6.64,6.58,4.06,B
11803,1,Ideal,G,SI1,61.9,56,5088,6.45,6.37,3.97,A
11804,1.02,Premium,F,SI1,62.2,58,5089,6.4,6.46,4,B
11805,1.01,Fair,F,VS2,65.2,52,5090,6.31,6.29,4.11,A
11806,1.06,Very Good,E,SI1,61.4,58,5090,6.53,6.62,4.04,B
11807,1.01,Premium,H,SI1,62.3,58,5090,6.44,6.4,4,B
11808,1.04,Premium,H,SI1,61,58,5090,6.6,6.54,4.01,B
11809,1.01,Premium,F,SI1,62.9,58,5090,6.43,6.35,4.02,B
11810,1.01,Premium,G,SI1,60.8,60,5090,6.47,6.39,3.91,B
11811,1.16,Premium,H,SI1,61.9,59,5091,6.73,6.74,4.17,B
11812,1.21,Ideal,I,SI2,60.6,56,5091,6.92,6.94,4.2,A
11813,1.16,Ideal,I,SI1,62.6,57,5091,6.71,6.67,4.19,A
11814,1.07,Premium,G,SI1,63,55,5091,6.55,6.47,4.1,B
11815,1.07,Premium,G,SI1,61,58,5091,6.66,6.59,4.04,B
11816,1.11,Premium,F,SI1,60.4,61,5091,6.72,6.65,4.04,B
11817,1.17,Ideal,I,SI1,60,59,5092,6.82,6.87,4.11,A
11818,1.03,Ideal,H,SI1,62,56,5093,6.44,6.49,4.01,A
11819,1,Good,D,SI1,64.2,60,5093,6.22,6.28,4.01,A
11820,1.16,Ideal,E,SI2,59.9,57,5093,6.82,6.8,4.08,A
11821,1.16,Ideal,E,SI2,62.7,56,5093,6.73,6.69,4.21,A
11822,1.07,Ideal,I,SI1,61.7,56,5093,6.59,6.57,4.06,A
11823,1.12,Good,H,SI1,59.8,61,5094,6.72,6.85,4.06,A
11824,1.33,Premium,I,SI2,59.7,59,5094,7.21,7.15,4.29,B
11825,1.05,Ideal,H,SI1,61.4,57,5095,6.49,6.54,4,A
11826,1.08,Good,E,SI1,63.1,59,5096,6.49,6.53,4.11,A
11827,1.08,Ideal,E,SI1,62.6,57,5096,6.53,6.56,4.1,A
11828,1,Fair,D,SI1,67.3,57,5096,6.15,6.04,4.1,A
11829,1,Premium,D,SI1,61.4,58,5096,6.4,6.34,3.91,B
11830,1.14,Ideal,I,SI1,60.8,58,5096,6.71,6.74,4.09,A
11831,1.21,Good,J,VS2,61,64,5096,6.89,6.79,4.17,A
11832,1.01,Premium,F,SI2,62.2,59,5096,6.41,6.38,3.98,B
11833,1.3,Premium,H,SI2,61.3,58,5096,6.99,6.95,4.27,B
11834,1,Premium,H,VS2,61.3,61,5096,6.44,6.38,3.93,B
11835,1.21,Premium,J,VS2,61.9,59,5096,6.84,6.77,4.21,B
11836,1,Premium,D,SI1,62.2,58,5096,6.28,6.23,3.89,B
11837,1,Good,D,SI1,60.4,64,5096,6.39,6.3,3.83,A
11838,1,Ideal,G,SI1,63,55,5096,6.42,6.41,4.04,A
11839,1.2,Premium,I,SI1,61.4,57,5098,6.87,6.8,4.2,B
11840,1.09,Premium,G,VS2,62.1,57,5098,6.6,6.55,4.08,B
11841,1.22,Ideal,H,SI2,61,57,5099,6.89,6.95,4.22,A
11842,1.01,Ideal,I,VS2,62,54,5099,6.43,6.47,4,A
11843,1.02,Premium,H,VS2,61.8,58,5100,6.49,6.43,3.99,B
11844,1.31,Very Good,J,SI2,61.8,59,5100,6.96,7.02,4.32,B
11845,1.13,Premium,H,SI1,62.3,58,5101,6.67,6.68,4.16,B
11846,0.95,Very Good,D,SI1,63.7,55,5101,6.2,6.24,3.96,B
11847,1.05,Ideal,I,VS1,61.5,55,5101,6.56,6.61,4.05,A
11848,1.03,Premium,E,SI1,61.3,60,5101,6.53,6.51,4,B
11849,0.91,Premium,E,VS1,60.6,58,5101,6.32,6.25,3.81,B
11850,1.04,Premium,H,VVS1,60.4,58,5102,6.58,6.53,3.96,B
11851,0.9,Very Good,G,VVS2,59.8,60,5102,6.23,6.28,3.74,B
11852,0.9,Very Good,E,VS1,60.7,61,5102,6.21,6.24,3.78,B
11853,1.04,Ideal,H,SI1,62.3,57,5102,6.45,6.48,4.03,A
11854,1.11,Ideal,H,SI1,62,56,5102,6.65,6.61,4.11,A
11855,1.11,Premium,H,SI1,62.1,58,5102,6.6,6.57,4.09,B
11856,1.07,Ideal,I,VS1,62.2,58,5103,6.52,6.57,4.07,A
11857,1.36,Premium,H,SI2,60.1,56,5103,7.23,7.18,4.38,B
11858,1.03,Premium,I,VS1,60.4,59,5104,6.57,6.51,3.95,B
11859,1.05,Ideal,D,SI1,60,55,5104,6.66,6.61,3.98,A
11860,1.04,Ideal,I,VS2,61.5,57,5105,6.49,6.52,4,A
11861,1.03,Premium,G,SI1,60.5,60,5105,6.52,6.48,3.93,B
11862,1.03,Ideal,D,SI2,61.8,54,5105,6.52,6.46,4.01,A
11863,1.03,Premium,H,SI1,59.2,60,5105,6.62,6.58,3.91,B
11864,1.08,Ideal,F,SI1,62.9,57,5106,6.54,6.53,4.11,A
11865,1.34,Fair,G,SI2,64.7,55,5106,7.03,6.97,4.53,A
11866,1.01,Very Good,F,SI1,63.2,56,5107,6.32,6.37,4.01,B
11867,1.01,Very Good,F,SI1,62,56,5107,6.41,6.47,3.99,B
11868,1.12,Premium,D,SI2,58.2,60,5107,6.9,6.81,3.99,B
11869,1.16,Ideal,I,SI1,62.4,57,5107,6.71,6.75,4.2,A
11870,1.01,Ideal,G,SI1,62.9,56,5107,6.39,6.43,4.03,A
11871,1.26,Premium,J,VS2,62.5,58,5107,6.92,6.9,4.32,B
11872,1.2,Premium,J,VS1,59.1,61,5107,7,6.94,4.12,B
11873,1.2,Ideal,I,SI1,62.5,57,5107,6.77,6.71,4.21,A
11874,1.2,Very Good,I,VVS2,61.7,63,5107,6.72,6.7,4.13,B
11875,1.5,Good,J,SI2,63.7,58,5107,7.19,7.13,4.56,A
11876,1.07,Ideal,H,VS2,61.8,56,5108,6.52,6.55,4.04,A
11877,1.05,Ideal,D,SI2,61.9,56,5110,6.5,6.53,4.03,A
11878,1.25,Good,J,SI1,63.6,57,5110,6.86,6.81,4.35,A
11879,0.95,Very Good,G,VS1,61.7,58,5111,6.26,6.34,3.89,B
11880,1.21,Very Good,I,SI2,62,56,5111,6.79,6.86,4.23,B
11881,1.03,Ideal,G,SI1,60.1,59,5111,6.6,6.57,3.96,A
11882,1.08,Premium,H,VS1,62.5,60,5111,6.55,6.51,4.08,B
11883,1.17,Ideal,H,SI2,62.3,57,5111,6.78,6.74,4.21,A
11884,0.99,Very Good,F,SI1,62.5,58,5112,6.36,6.38,3.98,B
11885,0.87,Ideal,E,SI1,61.5,57,5112,6.12,6.15,3.77,A
11886,1.06,Premium,G,SI1,62.2,57,5113,6.53,6.47,4.04,B
11887,1,Very Good,E,SI1,63.3,57,5113,6.28,6.32,3.99,B
11888,1.01,Good,G,SI1,63.7,60,5113,6.32,6.28,4.01,A
11889,1.01,Very Good,G,SI1,63.2,59,5113,6.36,6.32,4.01,B
11890,1.06,Premium,G,SI1,61.5,59,5113,6.57,6.53,4.03,B
11891,1.26,Premium,J,SI1,61.7,58,5114,6.91,6.99,4.29,B
11892,1.2,Very Good,H,SI1,63.3,57,5114,6.75,6.7,4.26,B
11893,1.02,Ideal,F,SI2,62.9,58,5115,6.34,6.42,4.01,A
11894,1.2,Very Good,G,SI2,62.6,60,5116,6.68,6.74,4.2,B
11895,1.2,Very Good,G,SI2,59.7,59,5116,6.89,6.94,4.13,B
11896,1.06,Ideal,I,VS2,61.4,55,5116,6.59,6.61,4.05,A
11897,0.9,Premium,E,VS1,62.1,59,5116,6.15,6.09,3.8,B
11898,1.01,Very Good,G,VS2,62.8,58,5119,6.35,6.42,4.01,B
11899,1,Very Good,F,SI1,60.5,60,5119,6.38,6.45,3.88,B
11900,1.12,Premium,I,VS2,61.9,58,5119,6.68,6.63,4.12,B
11901,1.13,Ideal,E,SI2,61.8,57,5120,6.68,6.65,4.12,A
11902,1.01,Premium,H,VS2,62.1,57,5120,6.45,6.39,3.99,B
11903,1.15,Premium,I,VS2,62.6,56,5120,6.74,6.67,4.2,B
11904,1.15,Premium,F,SI2,61.1,57,5120,6.82,6.77,4.15,B
11905,1,Very Good,H,VS2,62.9,57,5121,6.31,6.35,3.98,B
11906,1.27,Premium,J,SI1,61.8,58,5121,6.97,6.91,4.29,B
11907,0.9,Very Good,F,SI1,62.3,57,5122,6.13,6.16,3.83,B
11908,1,Very Good,F,SI1,63.5,56,5122,6.28,6.35,4.01,B
11909,1.01,Very Good,D,SI1,62.2,58,5122,6.36,6.4,3.97,B
11910,0.9,Ideal,F,SI1,61,56,5122,6.17,6.19,3.77,A
11911,1.01,Fair,D,SI1,66.2,56,5122,6.05,6.1,4.02,A
11912,1.15,Premium,I,SI2,61.3,57.3,5123,6.71,6.78,4.13,B
11913,0.9,Very Good,D,SI1,62.3,53,5123,6.2,6.22,3.87,B
11914,1.07,Premium,H,SI1,60,60,5123,6.65,6.61,3.98,B
11915,1.07,Premium,H,SI1,61.5,57,5123,6.63,6.55,4.05,B
11916,1.07,Premium,H,SI1,60.4,59,5123,6.65,6.62,4.01,B
11917,1.07,Ideal,H,SI1,60.9,57,5123,6.68,6.61,4.05,A
11918,1.21,Ideal,I,SI1,62.4,55,5124,6.78,6.81,4.24,A
11919,1.16,Ideal,J,SI1,61.8,55,5124,6.75,6.78,4.18,A
11920,1.3,Good,J,SI2,62.9,56,5124,6.9,6.94,4.35,A
11921,1.22,Ideal,I,SI1,62.5,56,5124,6.82,6.79,4.25,A
11922,1.09,Ideal,H,SI1,62.3,55,5125,6.58,6.61,4.11,A
11923,1.09,Ideal,H,SI1,61.1,57,5125,6.6,6.69,4.1,A
11924,1.09,Ideal,H,SI1,62.5,56,5125,6.53,6.58,4.1,A
11925,1.09,Ideal,H,SI1,61.1,57,5125,6.62,6.71,4.07,A
11926,1.15,Ideal,J,VS2,60.7,55,5125,6.77,6.83,4.13,A
11927,1.04,Ideal,E,SI2,61.9,57,5125,6.48,6.51,4.02,A
11928,1.24,Ideal,J,SI1,61.9,56,5125,6.95,6.88,4.28,A
11929,1.01,Ideal,H,SI1,62.6,55,5126,6.41,6.44,4.02,A
11930,0.93,Ideal,G,SI1,60.1,57,5126,6.33,6.41,3.83,A
11931,1.05,Ideal,G,SI2,62.7,57,5127,6.45,6.51,4.06,A
11932,1.11,Ideal,G,SI1,62,57,5127,6.69,6.61,4.12,A
11933,1.09,Premium,E,SI2,60.9,59,5127,6.75,6.61,4.07,B
11934,1.09,Ideal,E,SI2,61.6,55,5127,6.64,6.6,4.08,A
11935,1.09,Ideal,E,SI2,61.9,55,5127,6.64,6.6,4.1,A
11936,1.09,Premium,E,SI2,61.4,58,5127,6.67,6.63,4.08,B
11937,1.24,Premium,J,VS2,62,58,5128,6.87,6.91,4.27,B
11938,1.05,Ideal,H,SI1,62.4,57,5128,6.49,6.52,4.06,A
11939,1.03,Premium,H,SI1,62.5,59,5129,6.46,6.41,4.02,B
11940,1.09,Very Good,H,SI1,60.6,60,5131,6.61,6.68,4.03,B
11941,1.02,Very Good,H,SI1,59.9,58,5131,6.57,6.66,3.96,B
11942,1.01,Premium,G,VS2,61.2,59,5131,6.43,6.37,3.92,B
11943,1.01,Fair,F,SI1,65,61,5131,6.29,6.23,4.07,A
11944,1.1,Good,H,SI1,63.6,58,5131,6.55,6.5,4.15,A
11945,1.01,Good,E,SI1,63.6,60,5132,6.32,6.38,4.04,A
11946,1.01,Good,E,SI1,63.7,58,5132,6.32,6.36,4.04,A
11947,1.01,Very Good,D,SI1,61.5,54,5132,6.4,6.47,3.96,B
11948,1.01,Good,E,SI1,63.4,60,5132,6.3,6.34,4.01,A
11949,1.01,Very Good,E,SI1,58.2,59,5132,6.54,6.59,3.82,B
11950,1.01,Very Good,E,SI1,62.8,60,5132,6.38,6.39,4.01,B
11951,1.01,Ideal,E,SI1,61.8,56,5132,6.46,6.51,4.01,A
11952,1.13,Premium,D,SI2,60.9,59,5133,6.65,6.72,4.07,B
11953,1.11,Premium,D,SI2,61.3,60,5134,6.6,6.54,4.03,B
11954,1.05,Premium,D,SI2,58.9,58,5134,6.74,6.67,3.95,B
11955,1.03,Premium,H,SI1,59.5,58,5134,6.64,6.58,3.93,B
11956,1.11,Premium,D,SI2,59.9,57,5134,6.74,6.72,4.03,B
11957,1.14,Premium,F,SI1,62.5,59,5135,6.65,6.67,4.16,B
11958,0.9,Very Good,G,VS1,61.4,57,5135,6.2,6.24,3.82,B
11959,1.21,Very Good,J,VS2,62.2,59,5136,6.79,6.84,4.24,B
11960,1.16,Premium,D,SI2,62.5,60,5136,6.7,6.64,4.17,B
11961,1.04,Very Good,F,SI1,63.4,59,5137,6.44,6.4,4.07,B
11962,1.08,Premium,D,SI2,62.1,58,5138,6.62,6.59,4.1,B
11963,1.01,Premium,G,SI1,62.3,59,5139,6.38,6.3,3.95,B
11964,1,Very Good,H,VS2,63.3,53,5139,0,0,0,B
11965,1.15,Premium,H,SI1,60.9,57,5139,6.8,6.72,4.12,B
11966,1,Premium,H,VS2,59.7,59,5139,6.57,6.52,3.91,B
11967,1,Ideal,H,VS2,62.5,56,5139,6.41,6.33,3.98,A
11968,1.33,Fair,F,SI2,64.5,58,5139,6.97,6.86,4.46,A
11969,1.05,Premium,H,SI1,60.2,62,5139,6.57,6.52,3.94,B
11970,1.14,Premium,G,SI2,60.9,56,5139,6.8,6.73,4.12,B
11971,1.2,Very Good,J,VS2,59.9,60,5140,6.98,6.95,4.17,B
11972,1.01,Ideal,F,SI1,62.3,55,5140,6.37,6.44,3.99,A
11973,1.21,Premium,H,SI2,60.6,56,5140,6.92,6.84,4.17,B
11974,1.3,Premium,J,SI2,61.1,61,5140,7,6.95,4.26,B
11975,1.5,Very Good,J,I1,63.3,58,5141,7.27,7.23,4.59,B
11976,1.2,Good,G,SI2,63.6,54,5141,6.75,6.71,4.28,A
11977,1.2,Premium,I,SI2,62.7,58,5141,6.82,6.76,4.26,B
11978,0.9,Ideal,F,VS2,61.6,57,5141,6.21,6.16,3.81,A
11979,1.08,Ideal,H,SI2,61.4,57,5141,6.66,6.6,4.07,A
11980,1.08,Ideal,I,SI1,62.6,54,5141,6.56,6.51,4.09,A
11981,1.01,Ideal,G,SI1,61.8,55,5141,6.46,6.43,3.98,A
11982,1.06,Premium,F,SI1,61,58,5142,6.6,6.65,4.04,B
11983,1.06,Premium,F,SI1,62.1,58,5142,6.5,6.52,4.04,B
11984,1.06,Very Good,F,SI1,61.2,57,5142,6.58,6.68,4.06,B
11985,1.2,Very Good,J,SI1,61.2,55,5142,6.84,6.88,4.2,B
11986,1.07,Very Good,H,SI1,59.2,61,5143,6.65,6.67,3.94,B
11987,1.09,Ideal,F,SI2,61.6,55,5143,6.59,6.65,4.08,A
11988,1.03,Ideal,G,SI1,60.3,58,5143,6.57,6.62,3.98,A
11989,1.06,Ideal,H,SI1,62.2,57,5143,6.56,6.49,4.06,A
11990,1.01,Fair,F,SI1,57.9,57,5144,6.53,6.57,3.79,A
11991,0.91,Very Good,E,VS2,61.1,58,5145,6.2,6.28,3.81,B
11992,1.04,Ideal,F,SI1,61.2,56,5145,6.54,6.6,4.02,A
11993,1.14,Ideal,H,SI1,61.6,57,5146,6.68,6.73,4.13,A
11994,1.24,Good,H,SI1,62,65,5146,6.88,6.84,4.25,A
11995,1.01,Ideal,D,SI1,62.4,54,5147,6.52,6.38,4.03,A
11996,1.03,Ideal,G,SI1,61.1,57,5147,6.54,6.58,4.01,A
11997,1.13,Very Good,E,SI2,63.4,59,5147,6.53,6.59,4.16,B
11998,1.06,Ideal,E,SI2,60.9,57,5147,6.58,6.62,4.02,A
11999,1.01,Good,D,SI1,63.9,60,5147,6.32,6.29,4.03,A
12000,1.01,Good,D,SI1,63.9,62,5147,6.31,6.25,4.01,A
12001,1.01,Good,D,SI1,63.9,61,5147,6.31,6.28,4.02,A
12002,1.01,Premium,H,VS1,61.6,57,5147,6.47,6.38,3.96,B
12003,1.01,Premium,D,SI1,59.8,54,5147,6.6,6.5,3.93,B
12004,1.01,Premium,D,SI1,59.2,61,5147,6.4,6.34,3.77,B
12005,1.01,Premium,D,SI1,58.1,61,5147,6.66,6.59,3.85,B
12006,1.01,Fair,D,SI1,64.4,61,5147,6.17,6.13,3.96,A
12007,1,Good,G,VS2,63.8,59,5148,6.26,6.34,4.02,A
12008,0.9,Very Good,G,VS1,61.5,56,5148,6.2,6.23,3.82,B
12009,1.14,Very Good,I,VS1,63.3,56,5148,6.68,6.6,4.2,B
12010,1.14,Premium,I,VS1,60.3,57,5148,6.83,6.81,4.11,B
12011,1.13,Ideal,I,SI1,61.9,57,5149,6.68,6.66,4.13,A
12012,1.09,Ideal,H,SI1,61.4,57,5149,6.66,6.6,4.07,A
12013,1.09,Premium,H,SI1,60.5,60,5149,6.72,6.67,4.05,B
12014,1.09,Ideal,H,SI1,62.3,57,5149,6.58,6.54,4.09,A
12015,0.9,Very Good,E,VS1,61.1,59,5151,6.14,6.2,3.77,B
12016,0.83,Ideal,E,VS1,62.2,56,5151,5.99,6.03,3.74,A
12017,1.26,Premium,I,SI2,60.1,59,5151,7,6.91,4.18,B
12018,1,Premium,F,SI1,59.8,59,5151,6.55,6.49,3.9,B
12019,1,Premium,F,SI1,61.8,58,5151,6.44,6.37,3.96,B
12020,1.04,Very Good,F,SI1,59.7,59,5152,6.67,6.56,3.95,B
12021,1,Premium,F,SI1,62.5,59,5152,6.39,6.34,3.98,B
12022,1.06,Premium,H,VS2,61.1,59,5152,6.58,6.51,4,B
12023,1.15,Ideal,J,VS1,61.5,55,5152,6.81,6.76,4.17,A
12024,1.11,Ideal,I,VS1,63,56,5152,6.61,6.57,4.15,A
12025,1,Premium,F,SI1,62.1,59,5152,6.39,6.36,3.96,B
12026,1.11,Premium,E,SI2,62.6,59,5152,6.71,6.65,4.18,B
12027,1,Premium,G,SI1,60.5,61,5152,6.51,6.45,3.92,B
12028,1.27,Ideal,I,SI2,62.1,56,5154,6.92,6.96,4.31,A
12029,1.18,Ideal,I,SI1,62.1,56,5154,6.79,6.77,4.21,A
12030,0.73,Ideal,F,VVS1,61.9,56,5154,5.75,5.79,3.57,A
12031,0.34,Ideal,G,VS2,62.2,55,596,4.47,4.5,2.79,A
12032,0.4,Good,I,SI1,63.9,57,596,4.66,4.7,2.99,A
12033,0.34,Ideal,G,VS2,61,57,596,4.48,4.5,2.74,A
12034,0.34,Premium,G,VS2,61.8,58,596,4.47,4.5,2.77,B
12035,0.34,Ideal,G,VS2,62.1,57,596,4.46,4.5,2.78,A
12036,0.34,Premium,G,VS2,61.6,60,596,4.47,4.49,2.76,B
12037,0.34,Ideal,G,VS2,62.7,55,596,4.48,4.49,2.81,A
12038,0.4,Very Good,I,SI1,59.8,57,596,4.8,4.83,2.88,B
12039,0.34,Very Good,E,SI1,62.9,55,596,4.47,4.5,2.82,B
12040,0.34,Premium,G,VS2,60.2,58,596,4.52,4.55,2.73,B
12041,0.34,Very Good,E,SI1,63,55,596,4.42,4.47,2.8,B
12042,0.4,Good,G,SI2,63.2,56,596,4.7,4.73,2.98,A
